cont,status,order,Family,genus,species,logM,M,mass
NA,extant,Artiodactyla,Antilocapridae,Antilocapra,americana,4.66,46082.9,46.0829
AF,extant,Artiodactyla,Bovidae,Addax,nasomaculatus,4.85,70000.3,70.0003
AF,extant,Artiodactyla,Bovidae,Aepyceros,melampus,4.72,52500.1,52.5001
AF,extant,Artiodactyla,Bovidae,Alcelaphus,buselaphus,5.23,171001.5,171.0015
AF,extant,Artiodactyla,Bovidae,Ammodorcas,clarkei,4.45,28049.8,28.0498
AF,extant,Artiodactyla,Bovidae,Ammotragus,lervia,4.68,48000,48
AF,extant,Artiodactyla,Bovidae,Antidorcas,marsupialis,4.59,39049.9,39.0499
EA,extant,Artiodactyla,Bovidae,Antilope,cervicapra,4.57,37500,37.5
EA,extant,Artiodactyla,Bovidae,Bison,bonasus,5.7,500000,500
NA,extant,Artiodactyla,Bovidae,Bison,bison,5.76,579255.3,579.2553
AF,extant,Artiodactyla,Bovidae,Bos,taurus,5.95,900000,900
EA,extant,Artiodactyla,Bovidae,Bos,grunniens,5.52,333000,333
EA,extant,Artiodactyla,Bovidae,Bos,javanicus,5.85,700000,700
EA,extant,Artiodactyla,Bovidae,Bos,frontalis,5.9,800000,800
EA,extant,Artiodactyla,Bovidae,Bos,sauveli,5.9,800000,800
Insular,extant,Artiodactyla,Bovidae,Bos,javanicus,5.85,700000,700
EA,extant,Artiodactyla,Bovidae,Boselaphus,tragocamelus,5.23,169000,169
EA,extant,Artiodactyla,Bovidae,Bubalus,bubalis,4.57,37500,37.5
Insular,extant,Artiodactyla,Bovidae,Bubalus,quarlesi,5.18,150000,150
Insular,extant,Artiodactyla,Bovidae,Bubalus,mindorensis,5.37,233333.3,233.3333
Insular,extant,Artiodactyla,Bovidae,Bubalus,depressicornis,5.48,300000,300
EA,extant,Artiodactyla,Bovidae,Budorcas,taxicolor,5.48,302000,302
AF,extant,Artiodactyla,Bovidae,Capra,nubiana,4.9,78999.7,78.9997
AF,extant,Artiodactyla,Bovidae,Capra,walie,5,100000,100
AF,extant,Artiodactyla,Bovidae,Capra,ibex,5,100999.7,100.9997
EA,extant,Artiodactyla,Bovidae,Capra,falconeri,4.61,41000,41
EA,extant,Artiodactyla,Bovidae,Capra,nubiana,4.67,46250,46.25
EA,extant,Artiodactyla,Bovidae,Capra,cylindricornis,4.7,50000,50
EA,extant,Artiodactyla,Bovidae,Capra,pyrenaica,4.7,50000,50
EA,extant,Artiodactyla,Bovidae,Capra,caucasica,4.74,55000,55
EA,extant,Artiodactyla,Bovidae,Capra,ibex,4.84,69333.3,69.3333
EA,extant,Artiodactyla,Bovidae,Capra,hircus,4.88,75000,75
EA,extant,Artiodactyla,Bovidae,Capra,sibirica,5.11,130000,130
AF,extant,Artiodactyla,Bovidae,Cephalophus,monticola,3.8,6250,6.25
AF,extant,Artiodactyla,Bovidae,Cephalophus,adersi,3.97,9250,9.25
AF,extant,Artiodactyla,Bovidae,Cephalophus,natalensis,4.08,12000,12
AF,extant,Artiodactyla,Bovidae,Cephalophus,maxwellii,4.08,12000,12
AF,extant,Artiodactyla,Bovidae,Cephalophus,rufilatus,4.08,12000,12
AF,extant,Artiodactyla,Bovidae,Cephalophus,leucogaster,4.1,12699.9,12.6999
AF,extant,Artiodactyla,Bovidae,Cephalophus,nigrifrons,4.14,13899.8,13.8998
AF,extant,Artiodactyla,Bovidae,Cephalophus,harveyi,4.16,14500.1,14.5001
AF,extant,Artiodactyla,Bovidae,Cephalophus,rubidus,4.18,15000,15
AF,extant,Artiodactyla,Bovidae,Cephalophus,zebra,4.24,17500.1,17.5001
AF,extant,Artiodactyla,Bovidae,Cephalophus,callipygus,4.26,18249.9,18.2499
AF,extant,Artiodactyla,Bovidae,Cephalophus,dorsalis,4.3,20000,20
AF,extant,Artiodactyla,Bovidae,Cephalophus,ogilbyi,4.3,20000,20
AF,extant,Artiodactyla,Bovidae,Cephalophus,niger,4.31,20400,20.4
AF,extant,Artiodactyla,Bovidae,Cephalophus,spadix,4.75,56000.3,56.0003
AF,extant,Artiodactyla,Bovidae,Cephalophus,jentinki,4.85,70000.3,70.0003
AF,extant,Artiodactyla,Bovidae,Cephalophus,silvicultor,4.86,72500.3,72.5003
AF,extant,Artiodactyla,Bovidae,Connochaetes,gnou,5.26,179999,179.999
AF,extant,Artiodactyla,Bovidae,Connochaetes,taurinus,5.26,179999,179.999
AF,extant,Artiodactyla,Bovidae,Damaliscus,hunteri,4.9,80000,80
AF,extant,Artiodactyla,Bovidae,Damaliscus,pygargus,5.01,102000,102
AF,extant,Artiodactyla,Bovidae,Damaliscus,lunatus,5.13,136000.3,136.0003
AF,extant,Artiodactyla,Bovidae,Dorcatragus,megalotis,4.01,10249.9,10.2499
AF,extant,Artiodactyla,Bovidae,Gazella,spekei,4.3,20000,20
AF,extant,Artiodactyla,Bovidae,Gazella,thomsonii,4.31,20499.8,20.4998
AF,extant,Artiodactyla,Bovidae,Gazella,gazella,4.35,22499.9,22.4999
AF,extant,Artiodactyla,Bovidae,Gazella,leptoceros,4.35,22200,22.2
AF,extant,Artiodactyla,Bovidae,Gazella,dorcas,4.36,23000.1,23.0001
AF,extant,Artiodactyla,Bovidae,Gazella,dorcas,4.36,23000.1,23.0001
AF,extant,Artiodactyla,Bovidae,Gazella,cuvieri,4.4,25000,25
AF,extant,Artiodactyla,Bovidae,Gazella,rufifrons,4.43,26999.8,26.9998
AF,extant,Artiodactyla,Bovidae,Gazella,soemmerringii,4.6,40000,40
AF,extant,Artiodactyla,Bovidae,Gazella,granti,4.74,54999.7,54.9997
AF,extant,Artiodactyla,Bovidae,Gazella,dama,4.86,72999.5,72.9995
EA,extant,Artiodactyla,Bovidae,Gazella,saudiya,4.2,16000,16
EA,extant,Artiodactyla,Bovidae,Gazella,bennettii,4.28,18916.7,18.9167
EA,extant,Artiodactyla,Bovidae,Gazella,gazella,4.36,23000,23
EA,extant,Artiodactyla,Bovidae,Gazella,subgutturosa,4.45,28500,28.5
EA,extant,Artiodactyla,Bovidae,Hemitragus,jayakari,4.36,23000,23
EA,extant,Artiodactyla,Bovidae,Hemitragus,jemlahicus,4.55,35200,35.2
EA,extant,Artiodactyla,Bovidae,Hemitragus,hylocrius,4.88,75000,75
AF,extant,Artiodactyla,Bovidae,Hippotragus,niger,5.36,227499.3,227.4993
AF,extant,Artiodactyla,Bovidae,Hippotragus,equinus,5.43,269997.7,269.9977
AF,extant,Artiodactyla,Bovidae,Kobus,vardonii,4.85,71500.7,71.5007
AF,extant,Artiodactyla,Bovidae,Kobus,kob,4.89,78500.1,78.5001
AF,extant,Artiodactyla,Bovidae,Kobus,megaceros,4.94,87500.4,87.5004
AF,extant,Artiodactyla,Bovidae,Kobus,leche,5.04,110749,110.749
AF,extant,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,5.32,210000.3,210.0003
AF,extant,Artiodactyla,Bovidae,Litocranius,walleri,4.58,37999.7,37.9997
AF,extant,Artiodactyla,Bovidae,Madoqua,piacentinii,3.4,2500,2.5
AF,extant,Artiodactyla,Bovidae,Madoqua,saltiana,3.51,3250,3.25
AF,extant,Artiodactyla,Bovidae,Madoqua,kirkii,3.72,5300.1,5.3001
AF,extant,Artiodactyla,Bovidae,Madoqua,guentheri,3.88,7500,7.5
EA,extant,Artiodactyla,Bovidae,Naemorhedus,caudatus,4.43,27000,27
EA,extant,Artiodactyla,Bovidae,Naemorhedus,goral,4.45,28500,28.5
EA,extant,Artiodactyla,Bovidae,Naemorhedus,sumatraensis,4.94,87500,87.5
AF,extant,Artiodactyla,Bovidae,Neotragus,batesi,3.48,3000,3
AF,extant,Artiodactyla,Bovidae,Neotragus,pygmaeus,3.6,4000,4
AF,extant,Artiodactyla,Bovidae,Neotragus,moschatus,3.81,6499.9,6.4999
NA,extant,Artiodactyla,Bovidae,Oreamnos,americanus,4.86,72500.3,72.5003
AF,extant,Artiodactyla,Bovidae,Oreotragus,oreotragus,4.11,12999.9,12.9999
AF,extant,Artiodactyla,Bovidae,Oryx,gazella,5.23,169001.3,169.0013
AF,extant,Artiodactyla,Bovidae,Oryx,dammah,5.3,200000,200
EA,extant,Artiodactyla,Bovidae,Oryx,leucoryx,4.94,87700,87.7
EA,extant,Artiodactyla,Bovidae,Oryx,dammah,5.3,200000,200
AF,extant,Artiodactyla,Bovidae,Ourebia,ourebi,4.24,17250,17.25
EA,extant,Artiodactyla,Bovidae,Ovibos,moschatus,5.49,312500,312.5
NA,extant,Artiodactyla,Bovidae,Ovibos,moschatus,5.57,368502.1,368.5021
EA,extant,Artiodactyla,Bovidae,Ovis,aries,4.7,50000,50
EA,extant,Artiodactyla,Bovidae,Ovis,vignei,4.78,60000,60
EA,extant,Artiodactyla,Bovidae,Ovis,nivicola,4.95,90000,90
EA,extant,Artiodactyla,Bovidae,Ovis,ammon,5.26,180000,180
NA,extant,Artiodactyla,Bovidae,Ovis,dalli,4.75,55650.6,55.6506
NA,extant,Artiodactyla,Bovidae,Ovis,canadensis,4.87,74644.9,74.6449
EA,extant,Artiodactyla,Bovidae,Pantholops,hodgsonii,4.44,27500,27.5
AF,extant,Artiodactyla,Bovidae,Pelea,capreolus,4.3,20000,20
EA,extant,Artiodactyla,Bovidae,Procapra,picticaudata,4.3,20000,20
EA,extant,Artiodactyla,Bovidae,Procapra,gutturosa,4.44,27750,27.75
EA,extant,Artiodactyla,Bovidae,Procapra,przewalskii,4.44,27500,27.5
EA,extant,Artiodactyla,Bovidae,Pseudois,schaeferi,4.47,29250,29.25
EA,extant,Artiodactyla,Bovidae,Pseudois,nayaur,4.65,45000,45
AF,extant,Artiodactyla,Bovidae,Raphicerus,sharpei,3.98,9499.9,9.4999
AF,extant,Artiodactyla,Bovidae,Raphicerus,melanotis,4.01,10249.9,10.2499
AF,extant,Artiodactyla,Bovidae,Raphicerus,campestris,4.02,10500,10.5
AF,extant,Artiodactyla,Bovidae,Redunca,fulvorufula,4.47,29499.9,29.4999
AF,extant,Artiodactyla,Bovidae,Redunca,redunca,4.64,44050.4,44.0504
AF,extant,Artiodactyla,Bovidae,Redunca,arundinum,4.76,58000.3,58.0003
EA,extant,Artiodactyla,Bovidae,Rupicapra,rupicapra,4.42,26100,26.1
EA,extant,Artiodactyla,Bovidae,Rupicapra,pyrenaica,4.48,30000,30
EA,extant,Artiodactyla,Bovidae,Saiga,tatarica,4.46,29000,29
AF,extant,Artiodactyla,Bovidae,Sigmoceros,lichtensteinii,5.23,171498.4,171.4984
AF,extant,Artiodactyla,Bovidae,Sylvicapra,grimmia,4.29,19499.8,19.4998
AF,extant,Artiodactyla,Bovidae,Syncerus,caffer,5.76,580002.7,580.0027
AF,extant,Artiodactyla,Bovidae,Taurotragus,oryx,5.76,569993.6,569.9936
AF,extant,Artiodactyla,Bovidae,Taurotragus,derbianus,5.83,680000,680
EA,extant,Artiodactyla,Bovidae,Tetracerus,quadricornis,4.28,19000,19
AF,extant,Artiodactyla,Bovidae,Tragelaphus,scriptus,4.64,43250.4,43.2504
AF,extant,Artiodactyla,Bovidae,Tragelaphus,spekii,4.89,77999.2,77.9992
AF,extant,Artiodactyla,Bovidae,Tragelaphus,imberbis,4.91,81575.5,81.5755
AF,extant,Artiodactyla,Bovidae,Tragelaphus,angasii,4.94,86600.4,86.6004
AF,extant,Artiodactyla,Bovidae,Tragelaphus,buxtoni,5.33,215000.8,215.0008
AF,extant,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,5.33,213501,213.501
AF,extant,Artiodactyla,Bovidae,Tragelaphus,eurycerus,5.52,329003.1,329.0031
EA,extant,Artiodactyla,Camelidae,Camelus,dromedarius,5.6,402000,402
EA,extant,Artiodactyla,Camelidae,Camelus,bactrianus,5.84,690000,690
SA,extant,Artiodactyla,Camelidae,Lama,pacos,4.78,60000,60
SA,extant,Artiodactyla,Camelidae,Lama,guanicoe,5.08,120000,120
SA,extant,Artiodactyla,Camelidae,Lama,glama,5.15,142500,142.5
SA,extant,Artiodactyla,Camelidae,Vicugna,vicugna,4.68,47499.6,47.4996
EA,extant,Artiodactyla,Cervidae,Alces,alces,5.55,355000,355
NA,extant,Artiodactyla,Cervidae,Alces,alces,5.56,358996.3,358.9963
EA,extant,Artiodactyla,Cervidae,Axis,porcinus,4.54,35000,35
EA,extant,Artiodactyla,Cervidae,Axis,axis,4.85,70000,70
Insular,extant,Artiodactyla,Cervidae,Axis,porcinus,4.52,33255.5,33.2555
Insular,extant,Artiodactyla,Cervidae,Axis,calamianensis,4.61,40500,40.5
Insular,extant,Artiodactyla,Cervidae,Axis,kuhlii,4.74,55000,55
Insular,extant,Artiodactyla,Cervidae,Axis,axis,4.79,62345.6,62.3456
SA,extant,Artiodactyla,Cervidae,Blastocerus,dichotomus,4.94,86666.2,86.6662
EA,extant,Artiodactyla,Cervidae,Capreolus,capreolus,4.35,22500,22.5
AF,extant,Artiodactyla,Cervidae,Cervus,elaphus,5.19,156250,156.25
EA,extant,Artiodactyla,Cervidae,Cervus,nippon,4.72,53000,53
EA,extant,Artiodactyla,Cervidae,Cervus,eldii,4.86,73000,73
EA,extant,Artiodactyla,Cervidae,Cervus,albirostris,5.1,125000,125
EA,extant,Artiodactyla,Cervidae,Cervus,duvaucelii,5.16,143000,143
EA,extant,Artiodactyla,Cervidae,Cervus,elaphus,5.22,166562.5,166.5625
EA,extant,Artiodactyla,Cervidae,Cervus,unicolor,5.33,211620,211.62
Insular,extant,Artiodactyla,Cervidae,Cervus,mariannus,4.7,50000,50
Insular,extant,Artiodactyla,Cervidae,Cervus,timorensis,4.8,63000,63
Insular,extant,Artiodactyla,Cervidae,Cervus,unicolor,5.21,160413.3,160.4133
Insular,extant,Artiodactyla,Cervidae,Cervus,unicolor,5.23,169000,169
NA,extant,Artiodactyla,Cervidae,Cervus,elaphus,5.34,217750.9,217.7509
EA,extant,Artiodactyla,Cervidae,Dama,dama,4.75,56250,56.25
EA,extant,Artiodactyla,Cervidae,Elaphodus,cephalophus,4.53,33500,33.5
EA,extant,Artiodactyla,Cervidae,Elaphurus,davidianus,5.17,149000,149
SA,extant,Artiodactyla,Cervidae,Hippocamelus,antisensis,4.84,68599.3,68.5993
SA,extant,Artiodactyla,Cervidae,Hippocamelus,bisulcus,4.85,70000.3,70.0003
EA,extant,Artiodactyla,Cervidae,Hydropotes,inermis,4.15,14000,14
NA,extant,Artiodactyla,Cervidae,Mazama,americana,4.36,22799.7,22.7997
SA,extant,Artiodactyla,Cervidae,Mazama,gouazoupira,4.21,16300.1,16.3001
SA,extant,Artiodactyla,Cervidae,Mazama,bricenii,4.22,16499.9,16.4999
SA,extant,Artiodactyla,Cervidae,Mazama,chunyi,4.22,16499.9,16.4999
SA,extant,Artiodactyla,Cervidae,Mazama,nana,4.22,16499.9,16.4999
SA,extant,Artiodactyla,Cervidae,Mazama,americana,4.36,22799.7,22.7997
SA,extant,Artiodactyla,Cervidae,Mazama,rufina,4.41,25999.8,25.9998
EA,extant,Artiodactyla,Cervidae,Muntiacus,reevesi,4.13,13500,13.5
EA,extant,Artiodactyla,Cervidae,Muntiacus,muntjak,4.15,14000,14
EA,extant,Artiodactyla,Cervidae,Muntiacus,feae,4.34,22000,22
Insular,extant,Artiodactyla,Cervidae,Muntiacus,reevesi,4.13,13500,13.5
Insular,extant,Artiodactyla,Cervidae,Muntiacus,muntjak,4.15,14000,14
Insular,extant,Artiodactyla,Cervidae,Muntiacus,atherodes,4.19,15600,15.6
Insular,extant,Artiodactyla,Cervidae,Muntiacus,muntjak,4.3,19777.4,19.7774
NA,extant,Artiodactyla,Cervidae,Odocoileus,hemionus,4.73,54212.6,54.2126
NA,extant,Artiodactyla,Cervidae,Odocoileus,virginianus,4.74,55508.6,55.5086
SA,extant,Artiodactyla,Cervidae,Odocoileus,virginianus,4.74,55508.6,55.5086
SA,extant,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,4.6,40000,40
SA,extant,Artiodactyla,Cervidae,Pudu,mephistophiles,3.98,9600,9.6
SA,extant,Artiodactyla,Cervidae,Pudu,puda,3.99,9749.9,9.7499
NA,extant,Artiodactyla,Cervidae,Rangifer,tarandus,4.93,86034,86.034
AF,extant,Artiodactyla,Giraffidae,Giraffa,camelopardalis,5.95,899994.8,899.9948
AF,extant,Artiodactyla,Giraffidae,Okapia,johnstoni,5.36,230001.1,230.0011
AF,extant,Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,5.37,235001.2,235.0012
AF,extant,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,6.15,1417490,1417.49
EA,extant,Artiodactyla,Moschidae,Moschus,moschiferus,4.11,13000,13
EA,extant,Artiodactyla,Moschidae,Moschus,chrysogaster,4.16,14500,14.5
Insular,extant,Artiodactyla,Suidae,Babyrousa,babyrussa,5,100000,100
AF,extant,Artiodactyla,Suidae,Hylochoerus,meinertzhageni,5.28,188500,188.5
AF,extant,Artiodactyla,Suidae,Phacochoerus,aethiopicus,4.85,71000.3,71.0003
AF,extant,Artiodactyla,Suidae,Phacochoerus,africanus,4.92,82500,82.5
AF,extant,Artiodactyla,Suidae,Potamochoerus,porcus,4.85,70000.3,70.0003
AF,extant,Artiodactyla,Suidae,Potamochoerus,larvatus,4.99,97500,97.5
Insular,extant,Artiodactyla,Suidae,Potamochoerus,larvatus,1.8,62.5,0.0625
EA,extant,Artiodactyla,Suidae,Sus,salvanius,3.89,7718,7.718
EA,extant,Artiodactyla,Suidae,Sus,barbatus,4.99,96666.7,96.6667
EA,extant,Artiodactyla,Suidae,Sus,scrofa,5.07,117285.7,117.2857
Insular,extant,Artiodactyla,Suidae,Sus,verrucosus,4.91,81250,81.25
Insular,extant,Artiodactyla,Suidae,Sus,scrofa,4.93,84818.6,84.8186
Insular,extant,Artiodactyla,Suidae,Sus,barbatus,4.99,96666.7,96.6667
Insular,extant,Artiodactyla,Suidae,Sus,barbatus,4.99,96666.7,96.6667
SA,extant,Artiodactyla,Tayassuidae,Catagonus,wagneri,4.55,35566.4,35.5664
SA,extant,Artiodactyla,Tayassuidae,Pecari,tajacu,4.33,21266.7,21.2667
NA,extant,Artiodactyla,Tayassuidae,Tayassu,pecari,4.51,32233.7,32.2337
SA,extant,Artiodactyla,Tayassuidae,Tayassu,pecari,4.51,32233.7,32.2337
AF,extant,Artiodactyla,Tragulidae,Hyemoschus,aquaticus,4.04,10850,10.85
EA,extant,Artiodactyla,Tragulidae,Moschiola,meminna,3.39,2450,2.45
Insular,extant,Artiodactyla,Tragulidae,Moschiola,meminna,3.53,3426.3,3.4263
EA,extant,Artiodactyla,Tragulidae,Tragulus,javanicus,3.52,3300,3.3
EA,extant,Artiodactyla,Tragulidae,Tragulus,napu,3.77,5900,5.9
Insular,extant,Artiodactyla,Tragulidae,Tragulus,javanicus,3.35,2250,2.25
Insular,extant,Artiodactyla,Tragulidae,Tragulus,napu,3.6,4000,4
EA,extant,Carnivora,Canidae,Alopex,lagopus,3.8,6285.3,6.2853
NA,extant,Carnivora,Canidae,Alopex,lagopus,3.54,3450,3.45
SA,extant,Carnivora,Canidae,Atelocynus,microtis,3.89,7750,7.75
AF,extant,Carnivora,Canidae,Canis,mesomelas,3.93,8500,8.5
AF,extant,Carnivora,Canidae,Canis,simensis,4,10000,10
AF,extant,Carnivora,Canidae,Canis,adustus,4.01,10249.9,10.2499
AF,extant,Carnivora,Canidae,Canis,aureus,4.04,10999.9,10.9999
AUS,extant,Carnivora,Canidae,Canis,lupus,4.23,16800,16.8
EA,extant,Carnivora,Canidae,Canis,aureus,4.08,11958.3,11.9583
EA,extant,Carnivora,Canidae,Canis,lupus,4.57,37000,37
Insular,extant,Carnivora,Canidae,Canis,aureus,3.91,8077.4,8.0774
NA,extant,Carnivora,Canidae,Canis,latrans,4.13,13406.3,13.4063
NA,extant,Carnivora,Canidae,Canis,rufus,4.36,22983.2,22.9832
NA,extant,Carnivora,Canidae,Canis,lupus,4.63,42750,42.75
SA,extant,Carnivora,Canidae,Cerdocyon,thous,3.72,5240,5.24
SA,extant,Carnivora,Canidae,Chrysocyon,brachyurus,4.37,23249.8,23.2498
EA,extant,Carnivora,Canidae,Cuon,alpinus,4.11,12760,12.76
Insular,extant,Carnivora,Canidae,Cuon,alpinus,4.11,12760,12.76
AF,extant,Carnivora,Canidae,Lycaon,pictus,4.34,22050.1,22.0501
EA,extant,Carnivora,Canidae,Nyctereutes,procyonoides,3.61,4040,4.04
AF,extant,Carnivora,Canidae,Otocyon,megalotis,3.62,4150,4.15
SA,extant,Carnivora,Canidae,Pseudalopex,sechurae,3.6,4000,4
SA,extant,Carnivora,Canidae,Pseudalopex,gymnocercus,3.67,4690,4.69
SA,extant,Carnivora,Canidae,Pseudalopex,vetulus,3.73,5350,5.35
SA,extant,Carnivora,Canidae,Pseudalopex,griseus,3.92,8280,8.28
SA,extant,Carnivora,Canidae,Pseudalopex,culpaeus,3.99,9832.4,9.8324
SA,extant,Carnivora,Canidae,Speothos,venaticus,3.78,6000,6
NA,extant,Carnivora,Canidae,Urocyon,littoralis,3.28,1896,1.896
NA,extant,Carnivora,Canidae,Urocyon,cinereoargenteus,3.58,3833.7,3.8337
SA,extant,Carnivora,Canidae,Urocyon,cinereoargenteus,3.58,3833.7,3.8337
AF,extant,Carnivora,Canidae,Vulpes,zerda,3.04,1100,1.1
AF,extant,Carnivora,Canidae,Vulpes,pallida,3.45,2800,2.8
AF,extant,Carnivora,Canidae,Vulpes,chama,3.47,2955,2.955
AF,extant,Carnivora,Canidae,Vulpes,rueppelli,3.51,3250,3.25
AF,extant,Carnivora,Canidae,Vulpes,vulpes,3.78,6000,6
AUS,extant,Carnivora,Canidae,Vulpes,vulpes,3.77,5950,5.95
EA,extant,Carnivora,Canidae,Vulpes,cana,3,1000,1
EA,extant,Carnivora,Canidae,Vulpes,corsac,3.38,2400,2.4
EA,extant,Carnivora,Canidae,Vulpes,bengalensis,3.44,2726,2.726
EA,extant,Carnivora,Canidae,Vulpes,rueppelli,3.51,3250,3.25
EA,extant,Carnivora,Canidae,Vulpes,ferrilata,3.7,5000,5
EA,extant,Carnivora,Canidae,Vulpes,vulpes,3.8,6333.3,6.3333
NA,extant,Carnivora,Canidae,Vulpes,velox,3.34,2197.5,2.1975
NA,extant,Carnivora,Canidae,Vulpes,vulpes,3.62,4131.7,4.1317
AF,extant,Carnivora,Felidae,Acinonyx,jubatus,4.7,50000,50
EA,extant,Carnivora,Felidae,Acinonyx,jubatus,4.7,50000,50
AF,extant,Carnivora,Felidae,Caracal,caracal,4.14,13749.9,13.7499
EA,extant,Carnivora,Felidae,Caracal,caracal,4.14,13749.9,13.7499
EA,extant,Carnivora,Felidae,Catopuma,temminckii,4.06,11500,11.5
Insular,extant,Carnivora,Felidae,Catopuma,badia,3.4,2500,2.5
Insular,extant,Carnivora,Felidae,Catopuma,temminckii,4.06,11500,11.5
AF,extant,Carnivora,Felidae,Felis,nigripes,3.11,1300,1.3
AF,extant,Carnivora,Felidae,Felis,margarita,3.4,2525,2.525
AF,extant,Carnivora,Felidae,Felis,silvestris,3.67,4650,4.65
AF,extant,Carnivora,Felidae,Felis,chaus,3.83,6749.9,6.7499
EA,extant,Carnivora,Felidae,Felis,margarita,3.4,2525,2.525
EA,extant,Carnivora,Felidae,Felis,bieti,3.74,5500,5.5
EA,extant,Carnivora,Felidae,Felis,silvestris,3.81,6400,6.4
EA,extant,Carnivora,Felidae,Felis,chaus,3.86,7257,7.257
Insular,extant,Carnivora,Felidae,Felis,chaus,3.91,8172,8.172
NA,extant,Carnivora,Felidae,Herpailurus,yaguarondi,3.95,8999.9,8.9999
SA,extant,Carnivora,Felidae,Herpailurus,yaguarondi,3.83,6749.9,6.7499
NA,extant,Carnivora,Felidae,Leopardus,tigrinus,3.35,2250,2.25
NA,extant,Carnivora,Felidae,Leopardus,wiedii,3.51,3250,3.25
NA,extant,Carnivora,Felidae,Leopardus,pardalis,4.08,11900.1,11.9001
SA,extant,Carnivora,Felidae,Leopardus,tigrinus,3.35,2250,2.25
SA,extant,Carnivora,Felidae,Leopardus,wiedii,3.51,3250,3.25
SA,extant,Carnivora,Felidae,Leopardus,pardalis,4.08,11900.1,11.9001
AF,extant,Carnivora,Felidae,Leptailurus,serval,4.08,12000,12
EA,extant,Carnivora,Felidae,Lynx,pardinus,3.97,9400,9.4
EA,extant,Carnivora,Felidae,Lynx,lynx,4.25,17950,17.95
NA,extant,Carnivora,Felidae,Lynx,rufus,3.95,8904.1,8.9041
NA,extant,Carnivora,Felidae,Lynx,canadensis,3.97,9373.2,9.3732
EA,extant,Carnivora,Felidae,Neofelis,nebulosa,4.29,19500,19.5
Insular,extant,Carnivora,Felidae,Neofelis,nebulosa,4.3,19851.5,19.8515
SA,extant,Carnivora,Felidae,Oncifelis,guigna,3.35,2230,2.23
SA,extant,Carnivora,Felidae,Oncifelis,geoffroyi,3.56,3590,3.59
SA,extant,Carnivora,Felidae,Oncifelis,colocolo,3.59,3935,3.935
SA,extant,Carnivora,Felidae,Oreailurus,jacobita,3.96,9170,9.17
EA,extant,Carnivora,Felidae,Otocolobus,manul,3.54,3500,3.5
AF,extant,Carnivora,Felidae,Panthera,pardus,4.74,54999.7,54.9997
AF,extant,Carnivora,Felidae,Panthera,leo,5.21,161499.1,161.4991
EA,extant,Carnivora,Felidae,Panthera,pardus,4.66,45500,45.5
EA,extant,Carnivora,Felidae,Panthera,leo,5.21,161499.1,161.4991
EA,extant,Carnivora,Felidae,Panthera,tigris,5.21,162564,162.564
Insular,extant,Carnivora,Felidae,Panthera,pardus,4.75,55615,55.615
NA,extant,Carnivora,Felidae,Panthera,onca,5,100000,100
SA,extant,Carnivora,Felidae,Panthera,onca,5,100000,100
EA,extant,Carnivora,Felidae,Pardofelis,marmorata,3.51,3250,3.25
Insular,extant,Carnivora,Felidae,Pardofelis,marmorata,3.39,2458.5,2.4585
EA,extant,Carnivora,Felidae,Prionailurus,rubiginosus,3.13,1350,1.35
EA,extant,Carnivora,Felidae,Prionailurus,bengalensis,3.52,3300,3.3
EA,extant,Carnivora,Felidae,Prionailurus,viverrinus,4.04,10850,10.85
Insular,extant,Carnivora,Felidae,Prionailurus,rubiginosus,3.15,1418.8,1.4188
Insular,extant,Carnivora,Felidae,Prionailurus,bengalensis,3.52,3300,3.3
Insular,extant,Carnivora,Felidae,Prionailurus,planiceps,3.83,6750,6.75
Insular,extant,Carnivora,Felidae,Prionailurus,viverrinus,3.89,7718,7.718
Insular,extant,Carnivora,Felidae,Prionailurus,viverrinus,3.95,8853,8.853
AF,extant,Carnivora,Felidae,Profelis,aurata,4.03,10650,10.65
NA,extant,Carnivora,Felidae,Puma,concolor,4.71,51600,51.6
SA,extant,Carnivora,Felidae,Puma,concolor,4.71,51600,51.6
EA,extant,Carnivora,Felidae,Uncia,uncia,4.65,44167,44.167
AF,extant,Carnivora,Herpestidae,Atilax,paludinosus,3.52,3300,3.3
AF,extant,Carnivora,Herpestidae,Bdeogale,crassicauda,3.19,1550,1.55
AF,extant,Carnivora,Herpestidae,Bdeogale,jacksoni,3.4,2500,2.5
AF,extant,Carnivora,Herpestidae,Bdeogale,nigripes,3.4,2500,2.5
AF,extant,Carnivora,Herpestidae,Crossarchus,ansorgei,2.85,700,0.7
AF,extant,Carnivora,Herpestidae,Crossarchus,obscurus,3.1,1250,1.25
AF,extant,Carnivora,Herpestidae,Crossarchus,alexandri,3.18,1500,1.5
AF,extant,Carnivora,Herpestidae,Cynictis,penicillata,2.92,836,0.836
AF,extant,Carnivora,Herpestidae,Dologale,dybowskii,2.54,350,0.35
AF,extant,Carnivora,Herpestidae,Galerella,sanguinea,2.74,550,0.55
AF,extant,Carnivora,Herpestidae,Galerella,flavescens,2.88,750,0.75
AF,extant,Carnivora,Herpestidae,Galerella,swalius,2.88,750,0.75
